,Date,Open,High,Low,Close,Volume
0,2000-01-03,344.1875,345.5,311.0,321.25,285600
1,2000-01-04,320.0,321.5,300.0,300.0,215900
2,2000-01-05,282.5,299.625,262.0,283.5,1183500
3,2000-01-06,272.0,278.125,235.25,236.125,797500
4,2000-01-07,248.375,254.5,238.0,248.375,729100
5,2000-01-10,259.125,286.25,249.5625,285.5,1143200
6,2000-01-11,295.125,298.0,267.25,278.4375,481000
7,2000-01-12,288.0,289.25,250.0,254.0,1011300
8,2000-01-13,260.375,260.5,218.375,232.8125,1031300
9,2000-01-14,254.0,254.625,229.0,230.0,641500
10,2000-01-18,229.0625,229.0625,207.5,211.5,822200
11,2000-01-19,212.0,233.0,212.0,224.75,1367500
12,2000-01-20,229.5,235.75,220.0,234.0,916400
13,2000-01-21,235.0,275.0,229.75,269.0,1232100
14,2000-01-24,271.9375,284.4375,258.625,262.0625,886600
15,2000-01-25,264.0,282.0,254.625,279.3125,369800
16,2000-01-26,278.0,288.0,274.0625,277.5,596900
17,2000-01-27,270.0,290.0,264.0,281.125,544100
18,2000-01-28,266.125,285.0625,255.0,270.0625,418300
19,2000-01-31,264.125,267.0,235.0625,249.125,675900
20,2000-02-01,255.25,256.46875,235.375,239.0625,328100
21,2000-02-02,239.125,245.0,231.25,233.625,314400
22,2000-02-03,240.0,252.0,239.875,245.375,479800
23,2000-02-04,247.625,254.0,230.40625,235.0,330200
24,2000-02-07,230.0,233.0,216.0,228.625,1577400
25,2000-02-08,241.125,246.0,232.0625,240.9375,684000
26,2000-02-09,241.25,244.0,233.0,234.875,672500
27,2000-02-10,236.75,236.875,227.0,229.0,422800
28,2000-02-11,229.0625,241.0,226.125,233.0625,393000
29,2000-02-14,233.5625,238.75,226.8125,230.375,419000
30,2000-02-15,231.75,233.0,217.0,222.5,380600
31,2000-02-16,229.75,252.0,228.1875,246.125,1087700
32,2000-02-17,246.25,253.0,235.5,252.0,702300
33,2000-02-18,246.0,247.0,239.25,241.6875,502700
34,2000-02-22,238.625,244.0,238.375,242.125,374400
35,2000-02-23,246.0,260.5,233.5,252.0625,497000
36,2000-02-24,253.5,275.375,253.0,274.8125,739600
37,2000-02-25,274.25,275.0,261.0,267.0625,493500
38,2000-02-28,263.375,265.375,248.3125,256.75,456200
39,2000-02-29,259.28125,262.75,250.0,261.25,252100
40,2000-03-01,259.375,285.875,259.3125,278.625,688000
41,2000-03-02,282.1875,290.6875,265.0,268.0,556600
42,2000-03-03,278.25,286.625,265.875,268.375,585100
43,2000-03-06,270.5,278.8125,252.75,254.0,363500
44,2000-03-07,260.0,268.1875,255.0,262.4375,585900
45,2000-03-08,264.1875,269.0625,249.0,265.0,400700
46,2000-03-09,267.875,288.0,265.15625,286.0,465200
47,2000-03-10,288.0625,305.9375,288.0,296.0,669100
48,2000-03-13,274.0,302.5,273.9375,284.75,453300
49,2000-03-14,292.5,292.75,266.0,269.75,343500
50,2000-03-15,269.5625,270.1875,230.1875,240.25,898700
51,2000-03-16,243.0,245.5,215.0,229.125,826100
52,2000-03-17,227.0,237.5,218.5,218.9375,550800
53,2000-03-20,218.75,227.875,209.625,213.25,1239900
54,2000-03-21,208.875,208.875,189.0,197.5,1344400
55,2000-03-22,202.25,225.0,201.3125,208.5,821000
56,2000-03-23,210.0,215.0,199.0,201.875,633900
57,2000-03-24,203.5,215.0,202.5,211.0,556700
58,2000-03-27,214.25,219.5,206.125,208.6875,325900
59,2000-03-28,207.25,207.375,199.0,199.875,493200
60,2000-03-29,199.4375,199.4375,168.0,170.0,1700200
61,2000-03-30,166.0,172.0625,159.5,160.0625,1395700
62,2000-03-31,172.0625,172.125,155.0,160.8125,841300
63,2000-04-03,157.125,157.875,118.0,119.0,1812400
64,2000-04-04,127.0,127.75,105.0,115.46875,2058700
65,2000-04-05,110.875,130.125,107.0,110.0,1405500
66,2000-04-06,117.5,136.0,115.0,135.125,2277000
67,2000-04-07,141.0,149.75,138.0,145.6875,1293800
68,2000-04-10,149.9375,151.625,127.3125,133.3125,1420900
69,2000-04-11,121.3125,123.0,105.0,107.75,3136600
70,2000-04-12,110.875,111.5625,92.75,92.75,2596400
71,2000-04-13,97.3125,99.25,87.875,88.0,1587800
72,2000-04-14,84.5,84.75,64.0,64.875,2184500
73,2000-04-17,60.0,76.625,56.625,70.0,2003400
74,2000-04-18,74.5,95.0,67.875,91.5,1895100
75,2000-04-19,95.0,102.125,85.0,88.9375,1564000
76,2000-04-20,93.0,93.5625,81.25,86.9375,948900
77,2000-04-24,78.0,82.5,74.5,75.875,943100
78,2000-04-25,82.0,82.0,70.0,73.0625,2603400
79,2000-04-26,68.0,79.8125,67.0,73.5,1799600
80,2000-04-27,68.0625,83.75,68.0,83.125,1502400
81,2000-04-28,88.1875,108.0,87.5,98.875,2801200
82,2000-05-01,105.5,113.375,100.125,103.3125,2010700
83,2000-05-02,105.125,111.75,101.125,105.375,1608600
84,2000-05-03,101.125,103.1875,87.328125,91.875,2057600
85,2000-05-04,99.9375,100.875,93.0,97.0,1355000
86,2000-05-05,94.9375,103.0,94.0,97.0625,846400
87,2000-05-08,96.75,96.875,86.375,86.625,867700
88,2000-05-09,90.65625,91.375,82.75,83.25,1300800
89,2000-05-10,80.25,87.0625,73.6875,77.375,1342500
90,2000-05-11,82.75,83.0,72.0,73.203125,1488800
91,2000-05-12,77.0,78.5,69.875,70.5,1602000
92,2000-05-15,72.0,75.0,67.75,74.75,1559200
93,2000-05-16,79.75,81.0,72.0,76.0625,1652600
94,2000-05-17,74.6875,82.0,74.0625,77.0,1398200
95,2000-05-18,79.75,80.1875,74.4375,75.5625,806100
96,2000-05-19,74.0,74.9375,70.0,71.9375,852300
97,2000-05-22,74.0,74.0,61.5,69.375,1274700
98,2000-05-23,67.3125,71.0,65.5,67.75,1333600
99,2000-05-24,67.8125,69.25,60.9375,66.4375,1520000
100,2000-05-25,69.5625,71.5625,62.0,62.4375,861800
101,2000-05-26,64.0,64.0,58.875,59.9375,666700
102,2000-05-30,63.25,76.0,61.75,75.0,1787200
103,2000-05-31,72.46875,77.0625,66.625,66.75,1696600
104,2000-06-01,74.625,76.0,71.5,73.875,1412700
105,2000-06-02,80.125,91.0,79.5,89.0,3279800
106,2000-06-05,85.625,99.75,85.5,95.0625,2892600
107,2000-06-06,97.5625,102.0,86.5,87.5625,2228800
108,2000-06-07,89.1875,92.0,83.875,85.5,1824800
109,2000-06-08,90.25,91.5,87.0,90.5625,1311100
110,2000-06-09,96.0625,100.0,93.0,98.0,1612000
111,2000-06-12,93.9375,93.9375,88.0,88.625,1715100
112,2000-06-13,88.75,98.0625,81.0,98.0,3002100
113,2000-06-14,96.4375,100.75,92.375,93.9375,3123100
114,2000-06-15,93.25,95.5,91.0,91.25,1597300
115,2000-06-16,92.75,95.0,87.875,88.0,1540900
116,2000-06-19,87.875,93.625,87.875,92.75,1359200
117,2000-06-20,94.8125,96.75,90.5,94.0,2130900
118,2000-06-21,98.0,115.75,97.0,115.375,9643100
119,2000-06-22,118.25,118.4375,107.5,107.5625,2986800
120,2000-06-23,107.75,109.0,100.0,102.5,1420700
121,2000-06-26,105.0,120.0,102.5,119.25,3564400
122,2000-06-27,116.8125,119.0,114.0,116.25,1782500
123,2000-06-28,116.25,119.0,109.0,112.5,2361000
124,2000-06-29,110.0,116.21875,107.0,109.125,2089200
125,2000-06-30,109.75,119.0,108.25,118.734375,1769300
126,2000-07-03,118.75,127.8125,118.75,126.46875,1635700
127,2000-07-05,122.0625,128.5,115.0,115.1875,1751300
128,2000-07-06,117.5,118.0,106.5,110.6875,1943000
129,2000-07-07,112.8125,119.5,112.8125,113.75,1225900
130,2000-07-10,114.0,117.5,110.375,114.875,1146900
131,2000-07-11,114.6875,118.75,106.875,107.0625,1260400
132,2000-07-12,111.9375,114.25,110.125,113.5,1391400
133,2000-07-13,117.75,129.1875,115.75,127.0625,2957900
134,2000-07-14,129.375,132.9375,122.5,126.0,1849800
135,2000-07-17,125.5625,127.6875,121.5,124.6875,924900
136,2000-07-18,122.8125,126.5,116.875,122.0,1173000
137,2000-07-19,121.6875,126.625,120.4375,121.0,1345000
138,2000-07-20,122.5,129.375,121.0,125.4375,1099700
139,2000-07-21,124.875,125.5,117.0,117.0,1096900
140,2000-07-24,117.5,117.5,107.5,107.875,1976400
141,2000-07-25,98.625,98.75,84.625,85.0,6955500
142,2000-07-26,80.1875,87.4375,74.0,84.6875,5709600
143,2000-07-27,82.5,84.625,77.375,78.125,1236800
144,2000-07-28,80.125,81.0,72.5,77.9375,1331600
145,2000-07-31,80.0625,83.0,74.0,78.859375,1799100
146,2000-08-01,79.0625,79.75,71.1875,71.25,1497600
147,2000-08-02,71.1875,73.75,66.5,68.625,1863600
148,2000-08-03,65.125,76.0,65.0625,75.0,2098000
149,2000-08-04,78.625,80.125,75.125,77.375,1358400
150,2000-08-07,78.5,81.0,75.875,76.6875,907500
151,2000-08-08,77.0,78.875,73.875,74.0625,1236100
152,2000-08-09,77.0,77.0,71.375,71.375,890500
153,2000-08-10,71.25,72.5,66.0,66.5,1671800
154,2000-08-11,65.9375,66.0,60.6875,63.4375,3678000
155,2000-08-14,65.125,73.4375,63.625,71.375,2869600
156,2000-08-15,70.5,77.5,70.4375,75.0625,2728800
157,2000-08-16,75.875,78.5,75.0,75.1875,1265000
158,2000-08-17,74.75,77.375,74.5625,75.125,1007800
159,2000-08-18,76.4375,79.75,76.4375,78.9375,1699300
160,2000-08-21,80.375,80.4375,75.75,76.0,788400
161,2000-08-22,77.1875,77.1875,71.375,71.625,2000700
162,2000-08-23,70.9375,71.0,68.5,69.3125,1435800
163,2000-08-24,66.0,66.0,63.875,65.1875,4710300
164,2000-08-25,65.375,70.875,64.875,70.0625,3072100
165,2000-08-28,70.625,70.625,65.0,67.0,2300600
166,2000-08-29,67.25,68.875,65.5,66.3125,1430000
167,2000-08-30,66.875,74.75,66.75,72.5,2762700
168,2000-08-31,74.0,76.25,71.0,75.5625,3741400
169,2000-09-01,76.3125,76.75,70.875,72.1875,1963200
170,2000-09-05,72.125,72.1875,67.3125,67.875,1532400
171,2000-09-06,67.4375,72.75,67.4375,69.125,1929900
172,2000-09-07,69.75,72.25,68.0,70.0,1219100
173,2000-09-08,69.5625,69.5625,66.875,67.5,1321600
174,2000-09-11,64.4375,67.5,62.6875,62.6875,2754100
175,2000-09-12,63.8125,67.5625,60.5625,61.6875,3879500
176,2000-09-13,60.25,65.875,60.25,63.3125,3211100
177,2000-09-14,65.6875,67.75,62.1875,63.9375,2695900
178,2000-09-15,64.5,65.25,60.25,61.125,2690300
179,2000-09-18,60.75,62.625,57.75,59.875,1957700
180,2000-09-19,61.0,62.4375,60.0625,61.9375,1649700
181,2000-09-20,61.9375,63.5,58.5,60.625,1365700
182,2000-09-21,59.75,59.9375,58.5,58.625,2265000
183,2000-09-22,56.625,58.75,54.0,56.25,1810000
184,2000-09-25,59.375,60.125,56.0,56.125,2272600
185,2000-09-26,57.0,59.5,55.0,57.375,1958800
186,2000-09-27,58.75,59.25,48.5,50.5,3394700
187,2000-09-28,49.0,51.75,45.5,48.875,2721700
188,2000-09-29,49.875,55.0,48.75,52.515625,2824700
189,2000-10-02,53.125,53.75,46.5625,46.875,2196100
190,2000-10-03,48.75,49.75,43.875,44.0,2379000
191,2000-10-04,44.375,46.5625,42.5625,45.484375,2589500
192,2000-10-05,44.8125,45.4375,38.5,39.6875,3113800
193,2000-10-06,39.75,40.375,35.0,36.1875,3562800
194,2000-10-09,36.3125,44.3125,35.5,43.9375,4383500
195,2000-10-10,44.875,48.75,39.875,41.75,6694500
196,2000-10-11,38.8125,46.8125,38.75,45.5625,3590300
